id,product_name,insurance_code,price,commission_rate_a,commission_rate_b,commission_rate_c,standard_code,unit_packaging_desc,unit_quantity,remarks,status,created_at,updated_at,base_month
d4736eda-bb81-4887-a712-8d0c74b92a54,네오반정 80mg,653803180,525,0.48,0.48,0,8806538031828,100정/병,300,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
566e0312-d565-4cf3-ac24-caac744ea366,실데그라정 100mg,653806370,1540,0.3,0.3,0,8806538063713,8정/PTP,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
1a1085f9-0ba0-4438-9c94-b66e28f2bd97,프리린캡슐 75mg,653804720,549,0.48,0.45,0,8806538047218,30캡슐/병,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
4204d94f-f4f6-4cfd-b375-338bfbcb9cab,가모피드정 5mg,653800020,103,0.43,0.45,0,8806538000220,500정/병,30,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
1169bc4c-e1c6-4145-9c7b-5a7ab744ceb2,신일아시클로버정,653801340,625,0.45,0.52,0,8806538013428,100정/병,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
baa541b4-fa88-453d-ab32-7004b74a0d38,트라글립틴듀오정2.5/1000mg,653806300,344,0.25,0.25,0,8806538063058,30정/PTP,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
40748d73-d90c-4a3e-87cb-8f16c764d70b,프라빅정 75mg,653802750,632,0.5,0.6,0,8806538027548,30정/PTP,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
b3a1cded-700d-433c-b029-bc86bcf2802e,에페릭스정,653802110,115,0.35,0.38,0,8806538021126,300정/병,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
43d69d6f-dc00-4b1f-a98b-05d86cd850e6,트라글립틴듀오정2.5/500mg,653806280,338,0.3,0.35,0,8806538062815,30정/병,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
691df8fd-0b38-4485-8a96-2524edb3872c,신일트리메부틴말레산염정 100mg,653801090,58,0.2,0.2,0,8806538046914,100정/병,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
eb808b4c-211f-4236-83af-a468c26ebbab,로타젯정10/20mg,653805830,1074,0.47,0.48,0,8806538058320,30정/병,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
7de10a3a-bd21-46bd-a52d-5a1105f1eb83,신일모노독시엠캡슐,653801140,141,0.12,0,0,8806538011431,500캡슐/병,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
d2252112-f8c6-43e5-bf98-130fc07dccde,트라글립틴정 5mg,653806250,402,0.4,0.5,0,8806538062501,(소분),0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
f846a709-2398-4dc3-9e75-8ddc45946b03,하이엘정 10mg,653804410,612,0.45,0.6,0,8806538044101,(소분),0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
dbce7f61-0642-4cec-be89-389cdd859a89,맥스케어액트정,653805970,275,0.1,0,0,8806538059716,60정/병,0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
545c57ba-598f-40ef-9800-dbf7f7bdecfb,신일아시클로버정,653801340,625,0.45,0.52,0,8806538013404,(소분),0,"",active,2025-07-21 06:02:15.780494+00,2025-07-21 06:02:15.780494+00,2025-07
